Country,Abbrev,Region,MostPopulousCity,Latitude,Longitude,N_years_birth,N_years_death,Birth_pvals_12m,Birth_pvals_6m,Death_pvals_12m,Death_pvals_6m
Fiji,Fiji,Oceania,Suva,-18.1405,178.4233,11,NaN,1.01071689306281e-06,1,NaN,NaN
Niue,Niue,Oceania,Alofi,-19.0558,-169.917,NaN,NaN,NaN,NaN,NaN,NaN
Mauritius,Mauritius,Africa,Port Louis,-20.1609,57.499,32,29,2.54152475070936e-41,0.008854859,1.17898584932456e-17,6.35340590474606e-09
Reunion,Reunion,Africa,Saint Denis,-20.8785,55.448,26,10,2.23335188702451e-18,1,0.021336723,0.001103637
Tonga,Tonga,Oceania,Nuku'alofa,-21.1343,-175.202,10,NaN,6.69196343297174e-11,1,NaN,NaN
Cook Islands,Cook Islands,Oceania,Avarua,-21.2057,-159.785,NaN,NaN,NaN,NaN,NaN,NaN
Saint Pierre and Miquelon,St. Pierre-Miquelon,North America,Saint PIerre,-21.3409,-56.167,NaN,NaN,NaN,NaN,NaN,NaN
New Caledonia,New Caledonia,Oceania,Noumea,-22.2717,166.458,50,11,8.59091225894735e-55,9.4055233722307e-06,4.25246579137537e-08,1
Namibia,Namibia,Africa,Windhoek,-22.5597,17.0832,NaN,NaN,NaN,NaN,NaN,NaN
Brazil,Brazil,South America,Sao Paulo,-23.5558,-46.633,7,5,4.84977691906398e-12,1,7.69886322298296e-07,1
Botswana,Botswana,Africa,Gaborone,-24.658,25.912,3,NaN,0.006224731,1,NaN,NaN
South Africa,South Africa,Africa,Johannesburg ,-26.2056,28.047,11,NaN,2.61285504928352e-06,0.437922685,NaN,NaN
Norfolk Island,Norfolk Island,Oceania,Kingston,-29.056,167.9602,NaN,NaN,NaN,NaN,NaN,NaN
Chile,Chile,South America,Santiago,-33.4489,-70.669,55,40,1.11291169920152e-16,3.71950599825026e-07,5.09047128898596e-71,1.15740551504304e-07
Australia,Australia,Oceania,Sydney,-33.8688,151.207,51,40,4.79577227505901e-11,2.05344564197372e-19,1.61284482779781e-84,0.005298183
Argentina,Argentina,South America,Buenos Aires,-34.6037,-58.381,6,3,6.17785441596408e-05,1,0.000643371,1
Uruguay,Uruguay,South America,Montevideo,-34.9055,-56.188,27,22,1,0.054973167,2.70954112929618e-37,0.000387316
New Zealand,New Zealand,Oceania,Auckland,-36.8509,174.763,49,40,1.25688346667471e-06,1.33652740482072e-13,9.23411736447847e-64,1
Falkland Islands (Malvinas),Falkland Islands,South America,Stanley,-51.6928,-57.851,NaN,NaN,NaN,NaN,NaN,NaN
